___________________________________________________________________________________________________________________________________________
|-----------------------------------------------------------------------------------------------------------------------------------------|
|                       LISTENING STATISTICS GENERATED FROM MERGEFILE COVERING DATE RANGE 2026/2/1 to 2026/2/28                           |
|-----------------------------------------------------------------------------------------------------------------------------------------|
|Chart |Count|Artist/Release                                                                                |Time Spent Listening         |
| #151 | x1  | Pink Floyd/Relics                                                                            | 49 Minutes and 23 Seconds   |
| #152 | x1  | Phil Collins/But Seriously                                                                   | 59 Minutes and 45 Seconds   |
| #153 | x1  | Bruce Springsteen/Tunnel Of Love                                                             | 46 Minutes and 25 Seconds   |
| #154 | x1  | Billy Joel/An Innocent Man                                                                   | 40 Minutes and 21 Seconds   |
|------|-----|----------------------------------------------------------------------------------------------|-----------------------------|
|_________________________________________________________________________________________________________________________________________|

351 listens to albums in total

955707 total seconds spent listening to music, equivalent to 15928 Minutes, 265 Hours or 11 Days. That is 3.01% of the year. That is 36.87% of a month.
